,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
5,"frozenset({'2340333', '2888132'})","frozenset({'2888333', '303712'})",0.3558648111332008,0.35984095427435386,0.3240556660039761,0.9106145251396648,2.5306027963826043,0.19600093277314243,7.161779324055664
9,"frozenset({'24143', '2888132'})","frozenset({'2888333', '303712'})",0.33399602385685884,0.35984095427435386,0.3061630218687873,0.9166666666666667,2.547421731123389,0.18597757392029535,7.68190854870776
21,"frozenset({'24143', '2888132', '1440833'})","frozenset({'2888333', '303712'})",0.3320079522862823,0.35984095427435386,0.30417495029821073,0.9161676646706586,2.546035001819565,0.18470489192084077,7.6361829025844825
23,"frozenset({'24143', '2888132'})","frozenset({'1440833', '2888333', '303712'})",0.33399602385685884,0.3538767395626243,0.30417495029821073,0.9107142857142857,2.5735353130016048,0.18598152634886506,7.236580516898607
29,"frozenset({'24143', '2340333', '2888132'})","frozenset({'2888333', '303712'})",0.33399602385685884,0.35984095427435386,0.3061630218687873,0.9166666666666667,2.547421731123389,0.18597757392029535,7.68190854870776
32,"frozenset({'24143', '2888132'})","frozenset({'2340333', '2888333', '303712'})",0.33399602385685884,0.35984095427435386,0.3061630218687873,0.9166666666666667,2.547421731123389,0.18597757392029535,7.68190854870776
38,"frozenset({'24143', '2340333', '2888132', '1440833'})","frozenset({'2888333', '303712'})",0.3320079522862823,0.35984095427435386,0.30417495029821073,0.9161676646706586,2.546035001819565,0.18470489192084077,7.6361829025844825
42,"frozenset({'24143', '2340333', '2888132'})","frozenset({'1440833', '2888333', '303712'})",0.33399602385685884,0.3538767395626243,0.30417495029821073,0.9107142857142857,2.5735353130016048,0.18598152634886506,7.236580516898607
44,"frozenset({'24143', '2888132', '1440833'})","frozenset({'2340333', '2888333', '303712'})",0.3320079522862823,0.35984095427435386,0.30417495029821073,0.9161676646706586,2.546035001819565,0.18470489192084077,7.6361829025844825
47,"frozenset({'24143', '2888132'})","frozenset({'1440833', '2340333', '2888333', '303712'})",0.33399602385685884,0.3538767395626243,0.30417495029821073,0.9107142857142857,2.5735353130016048,0.18598152634886506,7.236580516898607
